,Year,same_sex_couple,Friend,Bar/Restaurant,Work,Party,School,Family,Online,College
0,1930.0,different sex couple,0,0,1,0,2,0,0,0
1,1940.0,different sex couple,15,10,7,8,8,7,0,1
2,1950.0,different sex couple,31,22,13,19,23,26,0,12
3,1950.0,same-sex couple,1,1,0,0,0,0,0,1
4,1960.0,different sex couple,45,32,24,20,29,30,0,16
5,1960.0,same-sex couple,2,3,1,0,0,0,0,2
6,1970.0,different sex couple,77,60,40,31,30,35,0,9
7,1970.0,same-sex couple,5,10,10,5,1,0,0,6
8,1980.0,different sex couple,122,87,63,60,48,49,1,29
9,1980.0,same-sex couple,22,16,11,11,2,1,0,7
10,1990.0,different sex couple,239,112,125,88,76,56,29,87
11,1990.0,same-sex couple,52,42,24,28,3,3,19,10
12,2000.0,different sex couple,220,139,101,78,66,61,139,71
13,2000.0,same-sex couple,38,29,14,23,3,1,81,5
